nome	partido	estado	verba	inicio	fim	momento_poder	poder	possivel_pie	possivel_pt	possivel_psdb	possivel_pmdb	possivel_dem	possivel_ped	voto_estado_1990	voto_estado_1994	voto_estado_1998	voto_estado_2002	voto_estado_2006	voto_estado_2010	voto_estado_2014	voto_pres_1990	voto_pres_1994	voto_pres_1998	voto_pres_2002	voto_pres_2006	voto_pres_2010	voto_pres_2014
Leonardo Picciani	PMDB	RJ	1	2002	-	8	DEP: +1 Frç	-	-	-	-	-	-					1	1								
Luiz Fernando Pezão	PMDB	RJ	1	2002	-	8	GOV: +1$	-	-	-	-	-	-							5							
Antônio Britto	PMDB	RS	2	1990	2002	8	QQ: +2 Frç se seu partido possuir mais Mídias no RS.	-	-	-	-	-	4*		5	5											
Germano Rigotto	PMDB	RS	2	1990	-	8	QQ: +1 Leg	-	-	-	-	-	-				5	3	2								
José Fogaça	PMDB	RS	1	1990	-	8	QQ: +1 Frç para cada conjunto & e G que seu partido tiver.	-	-	-	-	-	-	2	3			2	5								
Nelson Jobim (99-06 - STF)	PMDB	RS	2	1990	-	8	M.DEF: +3 Frç	-	-	-	-	-	-														
Pedro Simon	PMDB	RS	1	1990	-	8	SEN ou GOV: +3 Leg	-	-	-	-	-	-	8		2		2		1							
Casildo Maldaner	PMDB	SC	1	1990	-	8	SEN: +2 Frç caso seu partido governe SC	-	-	-	-	-	-		3												
Luiz Henrique da Silveira	PMDB	SC	2	1990	-	8	LEG ou GOV: +1 Frç e +1 Leg	-	-	-	-	-	-				5	5	3								
Paulo Evangelista Vieira	PMDB	SC	1	1990	2006	8	GOV: +1$	-	-	-	-	-	-	3	5	2											
Leonel Pavan	PMDB	SC	1	1994	-	8	LEG: +1 Frç	-	-	3*	-	-	-				3										
Dário Berger	PMDB	SC	1	2006	-	8	GOV: +1$	-	-	-	-	-	-					2	2	4							
Aloysio Nunes	PMDB	SP	1	1990	-	3	M.JST: -2 no 2d6 caso qq GOV do seu partido seja alvo de Cassação	-	-	4*	-	-	-		1				3								
Calso Amorim	PMDB	SP	1	1990	-	8	M.EXT: +2 Frç	-	6*	-	-	-	-														
Luís Antônio Fleury Filho	PMDB	SP	1	1990	-	8	GOV: +2 Frç	-	-	-	-	-	4*	3													
Michel Temer	PMDB	SP	3	1990	-	8	DEP: +3 Frç	-	-	-	-	-	-	1	1	1	1	1	1	1							
Orestes Quércia	PMDB	SP	2	1990	2010	8	EXE: +2$ e +2 Frç	-	-	-	-	-	-	5	1	1	1	1				1					
Ulyssess Guimarães	PMDB	SP	2	1990	1992	8	PRS: +5 Leg	-	-	-	-	-	-	2							1						
Jutahy Magalhães Júnior	PSDB	BA	2	1990	-	8	DEP: +1 Frç e +1 Leg caso seu partido seja aliado ao DEM.	-	-	-	-	-	-		2												
Lídice da Mata	PSDB	BA	0	1990	-	8	QQ: -2 Leg ao DEM	3*	-	-	-	-	-		2				2								
Antero Paes de Barros	PSDB	CO	1	1990	-	8	SEN: +2 no 2d6 em ataque direto a Blairo Baggi	-	-	-	-	-	-			3	2	1									
Maria de Lourdes Abadia	PSDB	CO	1	1990	-	8	GOV: +1 Leg	-	-	-	-	-	-		2			2									
Marconi Perillo	PSDB	CO	2	1994	-	8	GOV: +3$	-	-	-	-	-	-			4	5	7	5	5							
Marisa Serrano	PSDB	CO	0	1998	-	8	LEG: +1 Frç caso seu partido controle mais & que qualquer outro partido.	-	-	-	-	-	-				3										
Aécio Neves	PSDB	MG	3	1990	-	8	GOV ou SEN: +1$ e +1 Frç pra cada H que seu partido contolar.	-	-	-	-	-	-				6	8	4								4
Eduardo Azeredo	PSDB	MG	1	1990	-	8	LEG: +2 Frç caso a vertente do seu partido seja "Política Café-com-Leite"	-	-	-	-	-	-		8	4	2										
Pimenta da Veiga	PSDB	MG	2	1990	-	8	M.COM: +2 Leg	-	-	-	-	-	-	3						3							
Antônio Anastácia	PSDB	MG	1	1994	-	8	M.TRB: +2 Frç caso o PSDB controle diretamente a PRS	-	-	-	-	-	-						7	4							
Almir Gabriel	PSDB	N	2	1990	-	8	M.SAU: +1 Frç	-	-	3	-	-	3	2	5	5		4									
Arthur Virgílio	PSDB	N	1	1990	-	APS	QQ: +2 no 2d6 em caso de APS contra o partido do atual PRS	-	-	-	-	-	-	4			3		2								
Mário Couto	PSDB	N	1	1990	-	3	DEP: +1 no 1d6 de CRR	-	-	-	-	-	-				1	3									
Flexa Ribeiro	PSDB	N	2	1998	-	8	SEN: +1 Frç para cada F que seu partido tiver.	-	-	-	-	-	-						5								
Simão Jatene	PSDB	N	1	2002	-	8	GOV: +1 Frç para cada ® que seu partido tiver.	-	-	-	-	-	-				5		5	5							
José Anchieta Júnior	PSDB	N	1	2006	-	8	GOV: +1$	-	-	-	-	-	-					3	3								
Albano Franco	PSDB	NRL	2	1990	-	8	LEG ou GOV: +2 Leg	-	-	-	-	-	-	4	4	4											
João Faustino	PSDB	NRL	1	1990	-	8	DEP: +2 Frç caso seu partido seja aliado ao DEM	-	-	-	-	-	-	5													
Beni Veras	PSDB	NRN	1	1990	2006	8	QQ: +1 Frç caso Tasso Jereissati governe SC	-	-	-	-	-	-	4													
Ciro Gomes	PSDB	NRN	2	1990	-	8	QQ: -2 Frç para cada o de outro partido não aliado.	4*	-	-	-	-	-	6				2					2	2			
Tasso Jereissati	PSDB	NRN	3	1990	-	8	QQ: +1 Frç pra cada estado em que o PSDB tiver mais mídia	-	-	-	-	-	-	6	6	7	3		2	5							
Patrícia Saboya	PSDB	NRN	0	2002	-	8	LEG: +1 Frç caso Ciro Gomesocupe qualquer cargo.	4*	-	-	-	-	-				3										
Flávio Arns	PSDB	PR	2	1990	-	8	LEG: +2$	-	3	3	-	-	-				2										
José Richa	PSDB	PR	1	1990	1998	8	SEN: +2 Leg	-	-	-	-	-	-	3													
Beto Richa	PSDB	PR	2	1998	-	8	GOV: +2 Frç	-	-	-	-	-	-					2	6	6							
Artur da Távola	PSDB	RJ	1	1990	2008	8	LEG: +1 Leg para cada Personalidade ® que tiver.	-	-	-	-	-	-		2		1										
Paulo Hartung	PSDB	RJ	1	1990	-	8	QQ: +2 Frç caso seu partido controle mais o que qualquer outro partido.	-	-	-	4*	-	-				2	2		2							
Luís Paulo Corrêa da Rocha	PSDB	RJ	0	1994	-	8	DEP: +2 Frç se seu partido for aliado do PIE	-	-	-	-	-	-			2											
Denise Frossard	PSDB	RJ	0	2002	-	8	LEG: -1 Frç para exercer influência no STF	-	-	3	-	-	3				2	3									
Yeda Crusis	PSDB	RS	1	1990	-	8	QQ: +1 Frç caso seu partido controle diretamente a PRS ou o GOV-RS	-	-	-	-	-	-					5	2								
André Franco Montoro	PSDB	SP	2	1990	1999	8	DEP: +2 Leg	-	-	-	-	-	-	1													
Fernando Henrique Cardoso	PSDB	SP	2	1990	-	8	PRS: +2 Leg e +2$, o Legislativo não pode cancelar suas ações.	-	-	-	-	-	-	2								6	6				
Geraldo Alckmin	PSDB	SP	2	1990	-	5b / CRR	GOV: +1 no 1d6 de CRR / PRS: +1 no 1d6 de CRR para qq político do PSDB.	-	-	-	-	-	-				6		7	6					4		
José Anibal	PSDB	SP	1	1990	-	8	DEP: +2 Frç	-	-	-	-	-	-				1									4	
José Serra	PSDB	SP	2	1990	-	1	QQ: Seus Dossiês custam -1$ e pode fazer 2 deles por turno.	-	-	-	-	-	-	2	3	1		9		7				4		4	
Mário Covas	PSDB	SP	1	1990	2001	8	EXE: +2 Leg e +2 Frç	-	-	-	-	-	-	5	5	5					2						
Paulo Renato	PSDB	SP	0	1990	-	8	M.EDC: +2$	-	-	-	-	-	-														
Sérgio Motta	PSDB	SP	3	1990	1998	8	MIN: +4$ caso a vertente do seu partido seja "Neoliberalismo"	-	-	-	-	-	-														
Jacques Wagner	PT	BA	1	1990	-	8	GOV: -2 Frç para o DEM	-	-	-	-	-	-				4	5	7								
Walter Pinheiro	PT	BA	0	1998	-	8	LEG: +2 Leg caso seu partido seja mais forte que o DEM	-	-	-	-	-	-						3								
Rui Costa	PT	BA	0	2002	-	8	GOV: +1 Frç para cada @ que seu partido tiver.	-	-	-	-	-	-							2							
Cristovam Buarque	PT	CO	1	1990	-	8	M. EDU: +2 Frç	3*	-	-	-	-	-		3	4			3						1		
Geraldo Magela	PT	CO	1	1990	-	8	DEP: +1 Leg	-	-	-	-	-	-				4			1							
Lauro Álvares Campos	PT	CO	1	1990	2002	8	SEN: +1 Frç para cada G que seu partido tiver.	-	-	-	-	-	-		3												
Zeca do PT	PT	CO	1	1990	-	5b	GOV: +1 no 1d6 ao tentar realizar a ação de CRR	-	-	-	-	-	-			5	4		3								
Delcídio do Amaral	PT	CO	1	1998	-	8	M. DES: +1 Frç	-	-	-	-	-	-				2	2	2	4							
Serys Slhessarenko	PT	CO	0	1998	-	8	SEN: +1 Frç caso seu partido controle mais & que qualquer outro partido.	-	-	-	-	-	5*				2	1									
Nilmário Miranda	PT	MG	0	1990	-	8	GOV: +1 Frç para cada @ que seu partido tiver.	-	-	-	-	-	-				3	2									
Patrus Ananias	PT	MG	1	1990	-	8	QQ: +1 Frç pra cada conjunto G e @ que seu partido tiver.	-	-	-	-	-	-	2		4											
Fernando Pimentel	PT	MG	1	1994	-	8	M.DES: +2 Frç	-	-	-	-	-	-					2	4	5							
Marina Silva	PT	N	0	1990	-	8	QQ: +3$ pra cada conjunto 3 e @ que seu partido tiver.	6*	-	-	-	-	-		3		3									2	3
Ana Júlia Carepa	PT	N	0	1994	-	8	GOV: +1 Frç	-	-	-	-	-	-				3	5	4								
Jorge Viana	PT	N	1	1994	-	8	GOV: +2 Frç pra cada conjunto & e @ que seu partido tiver.	-	-	-	-	-	-			3	3		3								
Tião Viana	PT	N	1	1998	-	8	QQ: +1 Frç caso Ciro Gomes possua qualquer cargo	-	-	-	-	-	-			3		3	3								
Paulo Rocha	PT	N	1	2006	-	8	DEP: +2 Frç caso seu partido controle a PRS	-	-	-	-	-	-							3							
José Eduardo Dutra	PT	NRL	1	1990	-	8	M. DES: +1 Leg	-	-	-	-	-	-	1	1			2									
Marcelo Déda	PT	NRL	1	1994	2012	8	GOV: +2 Frç	-	-	-	-	-	-					4	4								
Heloísa Helena	PT	NRL	1	1998	-	8	SEN: +2 Frç caso a vertente do seu partido seja "Defesa de Minorias"	-	-	-	-	-	2*			2			1	2					1		
Fátima Bezerra	PT	NRL	0	2002	-	8	DEP: +1 Frç cpara cada outra mulher de seu partido com cargo.	-	-	-	-	-	-						1	5							
José Pimentel	PT	NRN	2	1990	-	8	DEP: +2 Leg	-	-	-	-	-	-						3								
José Aírton Cirilo	PT	NRN	1	1998	-	8	DEP: +2$	-	-	-	-	-	-			1	4										
Wellignton Dias	PT	NRN	1	1998	-	8	LEG ou GOV: +2 Frç se o PT for aliado ao PMDB	-	-	-	-	-	-				4	5	3	6							
Luizianne Lins	PT	NRN	0	2006	-	8	GOV: +1$	-	-	-	-	-	-					2	2								
Camilo Santana	PT	NRN	0	2010	-	8	GOV: +1 Frç	-	-	-	-	-	-							5							
Humberto Costa	PT	PE	1	1990	-	8	M.SAU: +1 Frç									1	4	3	3								
João Paulo Lima e Silva	PT	PE	0	2002	-	8	GOV: +1 Frç para cada @ que seu partido tiver.										2	2		3							
Gleisi Hoffmann	PT	PR	1	2006	-	8	QQ: +2 Frç se Dilma Rousseff possuir um cargo LEG ou EXE	-	-	-	-	-	-					4	3	2							
Benedita da Silva	PT	RJ	0	1990	-	8	SEN: +2 Frç	-	-	-	-	-	-		4		4										
Jorge Bittar	PT	RJ	1	1990	-	8	DEP: +1 Frç pra cada Personalidade & que seu partido tiver.	-	-	-	-	-	-	3	2												
Chico Alencar	PT	RJ	0	1998	-	3a	DEP: +2 no 2d6 ao realizar uma Cassação.	3*	-	-	-	-	-			1	1	1	2	2							
José Fortunati	PT	RS	1	1990	-	8	QQ: +2 Frç caso o GOV-RS seja de seu partido	4*	-	-	-	-	-							2							
Olívio Dutra	PT	RS	1	1990	-	8	GOV: +1 Frç para cada @ que seu partido tiver.	-	-	-	-	-	-	2	3	6		3		2							
Paulo Paim	PT	RS	0	1990	-	8	LEG: +2 Frç caso sua Base Aliada controle o M.TRB	-	-	-	-	-	-				2		3								
Raul Pont	PT	RS	0	1990	-	8	GOV: +1 Frç	-	-	-	-	-	-			2											
Tarso Genro	PT	RS	2	1990	-	8	GOV: +2 Leg e +2 Frç	-	-	-	-	-	-	1	2		5		6	3							
Miguel Rossetto	PT	RS	1	1998	-	8	M. DES: +2$	-	-	-	-	-	-					2									
Luci Choinacki	PT	SC	1	1990	-	8	DEP: +1 Frç para cada @ que seu partido tiver.	-	-	-	-	-	-		2			2									
Cláudio Vignatti	PT	SC	0	2002	-	8	DEP: +1$	-	-	-	-	-	-						2	2							
Ideli Salvatti	PT	SC	1	2002	-	8	SEN: +1 Frç para cada @ que seu partido tiver.	-	-	-	-	-	-				3		2								
Aloísio Mercadante	PT	SP	1	1990	-	8	QQ: +2 Leg caso uma CPI termine em condenação.	-	-	-	-	-	-			1	3	4	4								
Eduardo Suplicy	PT	SP	1	1990	-	8	SEN: +3 Leg	-	-	-	-	-	-	5	2	4		4		3							
Hélio Bicudo	PT	SP	0	1990	2005	8	M.FAZ: +1 Leg	-	-	-	-	-	-	1													
José Dirceu	PT	SP	3	1990	-	4a	M.CCV: +2 no 2d6 ao realizar uma ação de Lobby.	-	-	-	-	-	-		2		1										
José Eduardo Cardozo	PT	SP	1	1990	-	4d	M.JST: +2 Frç em caso de uma Investigação bem sucedida contra um partido mais fraco.	-	-	-	-	-	-														
José Genoino	PT	SP	0	1990	-	4c	QQ: +2 no 1d6 caso o PT seja alvo de uma Coerção.	-	-	-	-	-	-			1	4										
Luís Inácio Lula da Silva	PT	SP	2	1990	-	8 e 5a	PRS: +2 Frç e +2 Leg, caso realize uma açao de Network com sucesso, a Personalidade vai para o PT.	-	-	-	-	-	-	2							4	3	4	6	6		
Luísa Erundina	PT	SP	0	1990	-	8	QQ: +2 Frç caso seu partido seja o mais fraco.	3*	-	-	-	-	-	3	2	2											
Plínio de Arruda Sampaio	PT	SP	0	1990	2014	8	PRS: +3 Leg	3*	-	-	-	-	-	2													
Celso Daniel	PT	SP	1	1994	-	8	GOV: +2 Leg	-	-	-	-	-	-														
Marta Suplicy	PT	SP	0	1994	-	8	GOV: +1 Leg	-	-	-	-	-	-			3	3	2	4								
Antônio Palocci	PT	SP	2	1998	-	4b	M.FAZ: +2 no 2d6 ao realizar uma ação de Imposto	-	-	-	-	-	-														
Gilberto Carvalho	PT	SP	0	1998	-	8	QQ: +2 Frç caso seu partido controle diretamente a PRS	-	-	-	-	-	-														
Ivan Valente	PT	SP	0	1998	-	8	DEP: +1 Frç	3*	-	-	-	-	-					1	1								
Alexandre Padilha	PT	SP	0	2006	-	8	M.SAU: +1 Frç	-	-	-	-	-	-							1							
Fernando Haddad	PT	SP	0	2006	-	4h	M.EDC: +1 Leg caso não faça a ação de CRR.	-	-	-	-	-	-							3							
